NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy
43268004,YSSINGEAUX,45.135167,4.1275,873,10,0,12.9,10.61,29.4,27.190000000000005,19.270000000000003
44015001,BLAIN,47.472833,-1.771667,13,10,0,18.5,14.219999999999999,35.2,31.410000000000004,22.85
44020001,NANTES-BOUGUENAIS,47.15,-1.608833,26,10,2,21.9,16.57,35.7,31.660000000000004,24.48
44067001,GUEMENE-PENFAO,47.625333,-1.889833,33,10,0,17.0,13.87,35.0,31.1,22.340000000000003
44072002,HERBIGNAC,47.4265,-2.3365,22,10,0,19.5,15.549999999999997,35.0,31.339999999999996,22.99
44103001,ST NAZAIRE-MONTOIR,47.313833,-2.1545,3,10,0,19.0,15.26,34.0,30.240000000000002,22.999999999999996
44109012,NANTES-VILLE,47.227667,-1.514,17,10,0,18.8,15.419999999999998,36.3,32.230000000000004,24.099999999999998
44110002,NORT-SUR-ERDRE,47.425167,-1.513667,13,10,0,19.9,15.75,35.9,31.209999999999997,23.84
44113001,NOZAY,47.572833,-1.6115,44,10,0,18.9,14.87,35.0,30.560000000000002,22.830000000000002
44117002,LE PALLET_SAPC,47.1415,-1.336833,35,10,0,19.8,15.64,37.0,33.24,24.759999999999998
44120002,PELLERIN(LE),47.210333,-1.828667,4,10,0,19.7,14.66,34.2,30.869999999999997,23.09
44129001,PONTCHATEAU,47.439667,-2.105167,34,10,1,20.8,16.21,34.8,30.790000000000003,23.48
44131002,PORNIC,47.122,-2.0925,25,10,2,20.2,16.169999999999998,34.8,31.450000000000006,23.669999999999998
44180005,ST-MARS-LA-JAIL,47.526167,-1.185333,32,10,0,19.9,16.35,36.6,32.290000000000006,24.6
44181001,ST-MEME-LE-TENU,47.005667,-1.7825,4,10,0,19.3,14.63,35.0,31.859999999999996,23.380000000000003
44188001,ST-PHILBERT,47.029167,-1.652833,18,10,0,17.4,14.02,36.7,33.08,23.400000000000002
45004001,AMILLY,47.962167,2.728,91,10,0,13.3,11.41,34.2,29.890000000000004,21.57
45055001,ORLEANS,47.990667,1.778167,123,10,0,15.9,13.569999999999999,32.4,29.209999999999997,22.060000000000002
45069001,CHAMBON-LA-F.,48.025167,2.260333,143,10,0,16.9,14.09,32.5,29.25,21.650000000000002
45145001,FERRIERES,48.113167,2.857833,107,10,0,18.0,13.95,34.6,29.72,22.24
45187001,LORRIS,47.881167,2.505167,125,10,0,14.6,12.07,33.8,30.32,21.61
45193001,MARCILLY-EN-V.,47.769167,2.021833,127,10,0,15.5,13.05,36.2,31.65,22.56
45199003,MELLEROY_SAPC,47.897333,2.952,165,10,0,16.5,13.330000000000002,33.5,29.619999999999997,22.06
45245001,OUZOUER_SUR_TREZEE,47.672,2.809833,150,10,0,14.3,11.98,35.0,30.369999999999997,21.670000000000005
45253001,PITHIVIERS-LE-V,48.166333,2.228333,120,10,0,19.1,14.64,33.7,30.190000000000005,23.169999999999998
45270002,ST-BENOIT/LOIRE,47.808,2.305667,112,10,0,15.0,12.929999999999998,35.0,31.2,22.119999999999997
45340002,VILLEMURLIN,47.6935,2.366167,144,10,0,14.4,11.86,34.0,29.910000000000004,21.56
46005001,ANGLARS,44.493333,1.208167,104,10,0,15.8,13.26,35.5,33.28999999999999,23.48
46031001,BLARS,44.572,1.722,281,10,0,11.9,9.690000000000001,34.6,32.040000000000006,21.459999999999997
46038002,BRETENOUX,44.9125,1.838333,136,10,0,14.3,11.6,35.0,32.68,22.23
46071001,COMIAC,44.965333,2.0,562,10,0,18.4,15.2,31.3,28.52,22.279999999999998
46100001,FAYCELLES,44.575333,2.004667,342,10,0,18.6,15.91,33.4,31.169999999999998,23.78
46127001,GOURDON,44.745,1.396667,260,10,0,19.6,15.12,34.4,31.5,23.740000000000002
46128002,GRAMAT - PARC,44.760167,1.7255,312,10,0,13.4,11.21,34.5,32.06,21.709999999999997
46143001,LACAPELLE,44.7305,1.925167,396,10,1,20.7,15.13,32.8,30.279999999999994,23.049999999999997
46160001,LATRONQUIERE,44.8,2.067833,658,10,1,20.6,17.109999999999996,30.6,28.4,22.66
46173006,LIMOGNE,44.398167,1.775,303,10,0,15.6,13.14,35.2,32.660000000000004,23.11
46176001,LIVERNON,44.6485,1.847,308,10,0,14.2,11.07,34.3,31.46,21.79
46181001,LUNEGARDE,44.6785,1.6895,383,10,0,19.9,16.15,32.7,30.240000000000002,23.500000000000004
46197002,LE MONTAT,44.373667,1.435,260,10,0,16.8,14.510000000000002,35.7,32.64,24.229999999999997
46201001,MONTCUQ - ROUIL,44.3125,1.213833,193,10,0,19.5,15.98,34.2,31.99,24.180000000000003
46287001,SAINT-PAUL-FLAUGNAC,44.293833,1.454667,266,10,0,19.5,15.919999999999998,35.2,32.63,24.15
46330002,VAYRAC - BROUSS,44.969667,1.701333,152,10,0,14.2,11.75,35.3,33.05,22.17
46332001,VIAZAC - LABOUD,44.6625,2.073833,394,10,0,16.9,14.66,33.9,31.090000000000003,23.080000000000002
47004001,AIGUILLON,44.283167,0.334667,32,10,0,15.7,12.99,36.1,33.2,23.199999999999996
47038002,BOURRAN-INRAE,44.331833,0.413167,55,10,0,16.6,14.0,35.4,32.17,23.639999999999997
47086001,DURAS,44.685667,0.2065,112,10,1,20.0,17.04,34.8,31.820000000000004,24.88
47091001,AGEN-LA GARENNE,44.172167,0.594667,58,10,0,17.1,13.879999999999999,35.5,32.31,23.549999999999997
47093002,FARGUES-SUR-OURBISE,44.235833,0.186333,124,10,0,14.4,11.77,34.5,31.369999999999997,22.47
47123002,LACAPELLE-BIRON,44.585667,0.900333,235,10,5,22.1,18.55,34.1,31.810000000000002,25.259999999999998
47138001,LAROQUE-TIMBAUT,44.265667,0.775167,186,10,0,19.8,16.42,35.1,32.089999999999996,24.31
47163001,MAUVEZIN-SUR-GUPIE,44.5615,0.160333,95,10,0,19.1,16.78,35.3,32.03,24.740000000000002
47175001,MONFLANQUIN,44.532,0.734167,118,10,0,16.7,14.059999999999999,35.4,32.72,23.96
47213001,PRAYSSAS,44.310833,0.570667,196,10,3,23.3,18.71,33.7,31.000000000000007,25.04
47221001,REAUP,44.091667,0.193333,158,10,0,19.1,16.82,35.2,32.34,24.589999999999996
47254001,SAINT-MARTIN-CURTO,44.345333,0.042833,144,10,1,21.7,17.49,33.4,30.96,24.560000000000002
47323004,VILLENEUVE-SUR-LOT,44.3975,0.764,59,10,0,16.7,13.559999999999999,35.9,33.12,23.72
47327001,XAINTRAILLES,44.205,0.261167,190,10,2,22.0,18.1,34.5,31.779999999999994,25.11
48004001,ALTIER,44.494,3.852,900,10,0,18.5,14.39,29.8,26.419999999999998,20.720000000000002
48009001,AUMONT AUBRAC,44.727167,3.279833,1018,10,0,8.2,5.5699999999999985,28.3,26.32,17.009999999999998
48020003,BASSURELS,44.1965,3.630667,1042,10,0,16.3,12.7,28.8,25.09,19.310000000000002
48027002,LE BLEYMARD BOURG,44.504667,3.737667,1199,10,0,14.7,11.51,27.4,24.96,18.089999999999996
48027003,LE BLEYMARD_SAPC,44.4515,3.748167,1418,10,0,15.3,12.34,24.6,21.860000000000003,17.22
48032003,LE BUISSON,44.633333,3.238167,1088,10,0,8.2,5.67,27.2,25.16,16.0
48036001,CASSAGNAS,44.270333,3.763333,802,10,0,11.9,9.77,30.1,27.440000000000005,19.04
48043001,CHATEAUNEUF-DE-RANDON,44.638167,3.679833,1247,10,0,11.6,8.989999999999998,26.2,23.979999999999997,17.080000000000002
48045004,CHAUDEYRAC,44.6595,3.779667,1225,10,0,12.1,8.849999999999998,25.6,23.57,16.95
48051002,LE COLLET-SAUVEPLANE,44.256,3.925667,485,10,0,17.5,15.020000000000001,32.6,29.580000000000005,22.27
48060001,FAU DE PEYRE,44.763167,3.211833,1163,10,0,14.5,11.120000000000001,26.9,25.12,17.98
48061002,FLORAC,44.309,3.596333,618,10,0,11.3,9.3,31.8,29.029999999999994,19.32
48069001,GATUZIERES_SAPC,44.195333,3.499,965,10,0,15.5,12.89,30.2,26.830000000000002,19.740000000000002
48070004,GRANDRIEU,44.780667,3.633833,1163,10,0,6.3,3.6999999999999993,27.0,25.07,15.320000000000002
48094001,LE MASSEGROS,44.295667,3.165667,890,10,0,15.5,12.49,29.7,27.759999999999998,20.259999999999998
48095004,MENDE-VILLE,44.516833,3.489833,710,10,0,11.2,8.870000000000001,32.4,29.690000000000005,19.520000000000003
48095005,MENDE,44.533667,3.4545,932,10,0,14.2,11.750000000000002,29.9,28.259999999999998,20.009999999999998
48103001,MONTRODAT,44.545833,3.3125,746,10,0,13.9,9.92,30.9,28.939999999999998,19.810000000000002
48108001,LA PANOUSE_SAPC,44.728667,3.589333,1260,10,0,11.0,7.99,26.4,24.27,16.32
48110001,PAULHAC EN MARGERIDE_SAPC,44.947667,3.38,1170,10,0,12.3,9.819999999999999,27.7,24.689999999999998,17.4
48116001,LE PONT-DE-MONTVERT,44.365667,3.738333,875,10,0,12.1,9.849999999999998,30.8,28.080000000000002,18.71
48130002,ROUSSES_SAPC,44.206833,3.5845,812,10,0,13.7,10.66,30.4,26.939999999999998,18.87
48146001,STE ENIMIE-SAUVETERRE,44.408667,3.438167,1018,10,0,16.0,13.079999999999998,29.3,26.669999999999998,19.950000000000003
