NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,lcz_source,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,lcz_comp_100m,lcz_comp_300m,lcz_comp_500m,lcz_category
23090003,GENTIOUX,45.785,1.997333,794,demuzere,11.0,11,11,"{""11"": 2, ""9"": 2}","{""11"": 29, ""12"": 2, ""9"": 11}","{""11"": 88, ""12"": 6, ""9"": 18}",non_bati
23113001,LUPERSAT_SAPC,45.9865,2.393167,610,demuzere,14.0,14,14,"{""14"": 3, ""12"": 1}","{""14"": 20, ""12"": 20}","{""14"": 62, ""11"": 1, ""12"": 48}",non_bati
23155001,PONTARION_SAPC,45.995667,1.852833,455,demuzere,9.0,9,9,"{""9"": 5}","{""9"": 33, ""12"": 5}","{""9"": 62, ""12"": 49, ""11"": 1}",bati_special
23176001,LA SOUTERRAINE,46.2425,1.451833,370,demuzere,14.0,12,12,"{""12"": 1, ""14"": 3}","{""12"": 29, ""14"": 11}","{""12"": 62, ""14"": 46, ""9"": 2, ""11"": 1}",non_bati
23206002,GUERET-ST LAURENT,46.1755,1.950333,365,demuzere,12.0,14,14,"{""12"": 3, ""14"": 2}","{""14"": 26, ""12"": 16}","{""12"": 34, ""14"": 75, ""9"": 5}",non_bati
23209001,SAINT-LOUP_SAPC,46.140667,2.2645,440,demuzere,14.0,14,14,"{""14"": 6}","{""14"": 42}","{""14"": 114, ""12"": 1, ""9"": 2}",non_bati
24035003,BELVES,44.782667,0.956,238,demuzere,12.0,12,12,"{""12"": 5}","{""11"": 6, ""12"": 30, ""14"": 4}","{""11"": 48, ""12"": 60, ""14"": 4}",non_bati
24037005,BERGERAC,44.822833,0.524167,49,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 40}","{""14"": 108, ""9"": 2, ""12"": 2}",non_bati
24064001,BRANTOME,45.356833,0.645833,129,demuzere,9.0,12,12,"{""9"": 2, ""12"": 2}","{""9"": 14, ""12"": 25, ""11"": 2}","{""12"": 61, ""9"": 25, ""6"": 15, ""11"": 7}",non_bati
24138004,COULOUNIEIX,45.1595,0.676667,217,demuzere,14.0,14,9,"{""14"": 5}","{""14"": 25, ""9"": 14, ""12"": 2}","{""9"": 60, ""12"": 6, ""14"": 45}",bati_special
24152001,DOMME,44.798333,1.219667,165,demuzere,9.0,12,12,"{""12"": 2, ""9"": 3}","{""9"": 19, ""6"": 1, ""12"": 21}","{""6"": 13, ""9"": 39, ""12"": 57, ""11"": 2}",non_bati
24172001,LES EYZIES DE TAYAC,44.954667,1.021,112,demuzere,12.0,12,11,"{""11"": 2, ""12"": 3}","{""11"": 20, ""12"": 21}","{""11"": 59, ""12"": 52}",non_bati
24226001,LAMOTHE MONTRAV,44.837333,0.041167,9,demuzere,12.0,9,9,"{""12"": 3, ""9"": 2}","{""14"": 2, ""9"": 17, ""17"": 6, ""12"": 9, ""11"": 7}","{""14"": 19, ""17"": 12, ""11"": 18, ""9"": 40, ""12"": 22}",bati_special
24280001,MONPAZIER,44.684,0.891667,199,demuzere,9.0,9,9,"{""9"": 2, ""6"": 2}","{""9"": 25, ""6"": 12}","{""12"": 5, ""14"": 10, ""9"": 66, ""6"": 27}",bati_special
24291001,MONTIGNAC,45.052167,1.147333,77,demuzere,9.0,9,9,"{""12"": 1, ""9"": 4}","{""12"": 15, ""9"": 25}","{""11"": 13, ""12"": 43, ""9"": 51, ""14"": 5}",bati_special
24452001,ST MARTIAL VIVEYROLS,45.357833,0.319333,166,demuzere,14.0,14,14,"{""14"": 3}","{""14"": 32, ""9"": 2, ""12"": 4}","{""14"": 72, ""9"": 31, ""12"": 8}",non_bati
24453001,ST MARTIN  DE FRESSENGEAS,45.4755,0.848333,277,demuzere,14.0,14,14,"{""14"": 3}","{""14"": 35, ""9"": 3}","{""12"": 19, ""14"": 82, ""9"": 8, ""17"": 1}",non_bati
24516002,SALIGNAC-EYVIGUES,44.936667,1.364667,276,demuzere,12.0,12,12,"{""12"": 5}","{""12"": 33, ""11"": 1, ""9"": 7}","{""11"": 33, ""12"": 67, ""9"": 11}",non_bati
24547002,TERRASSON-LAVILLEDIEU,45.1355,1.2925,90,demuzere,6.0,6,6,"{""6"": 6}","{""6"": 42}","{""9"": 15, ""6"": 97}",urbain_aere
24550003,THENON,45.112667,1.0385,265,demuzere,12.0,12,12,"{""12"": 3, ""9"": 1}","{""12"": 20, ""11"": 6, ""14"": 6, ""9"": 9}","{""12"": 48, ""11"": 36, ""14"": 15, ""9"": 10}",non_bati
25021001,ARC-ET-SENANS,47.0315,5.782,235,demuzere,9.0,9,9,"{""9"": 5}","{""14"": 3, ""9"": 37}","{""14"": 38, ""9"": 78}",bati_special
25047001,BAUME-LES-DAMES,47.347167,6.350333,267,demuzere,6.0,6,6,"{""6"": 5}","{""6"": 41, ""9"": 2}","{""12"": 12, ""6"": 103, ""9"": 2, ""11"": 1}",urbain_aere
25056001,BESANCON,47.249,5.988833,307,demuzere,6.0,6,6,"{""6"": 4, ""12"": 1}","{""6"": 41, ""12"": 2}","{""6"": 100, ""12"": 15, ""8"": 2}",urbain_aere
25087002,BRANNE_SAPC,47.378,6.472167,287,demuzere,9.0,9,9,"{""9"": 4}","{""11"": 5, ""12"": 6, ""9"": 31}","{""11"": 32, ""12"": 19, ""14"": 20, ""9"": 44}",bati_special
25127001,CHARQUEMONT,47.218833,6.815,884,demuzere,6.0,6,6,"{""6"": 3, ""12"": 1}","{""11"": 3, ""12"": 15, ""6"": 24}","{""12"": 35, ""14"": 11, ""11"": 17, ""6"": 52, ""9"": 1}",urbain_aere
25219002,EPENOY,47.127167,6.366333,752,demuzere,14.0,14,14,"{""14"": 6}","{""14"": 33, ""12"": 1, ""9"": 7}","{""14"": 88, ""12"": 8, ""9"": 20}",non_bati
25222001,ETALANS_SAPC,47.1525,6.210167,540,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 39, ""12"": 3}","{""14"": 98, ""12"": 8, ""9"": 7}",non_bati
25223002,COULANS,47.023333,6.0205,468,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 40, ""12"": 4}","{""11"": 1, ""12"": 31, ""14"": 83}",non_bati
25254001,LES FOURGS,46.834,6.4365,1140,demuzere,14.0,14,14,"{""14"": 3, ""12"": 2}","{""14"": 25, ""11"": 12, ""12"": 5}","{""14"": 66, ""12"": 15, ""11"": 36}",non_bati
25285001,GRAND'COMBE-CHATELEU_SAPC,47.019167,6.567167,769,demuzere,9.0,14,14,"{""9"": 2, ""14"": 2}","{""14"": 24, ""9"": 10, ""12"": 7}","{""12"": 34, ""9"": 29, ""14"": 45, ""11"": 4}",non_bati
25320001,LABERGEMENT,46.779667,6.2795,863,demuzere,9.0,14,12,"{""14"": 2, ""9"": 3}","{""12"": 2, ""14"": 26, ""9"": 9, ""6"": 2}","{""12"": 40, ""14"": 38, ""9"": 13, ""6"": 24}",non_bati
25334001,LEVIER_SAPC,46.949333,6.124167,713,demuzere,14.0,14,14,"{""14"": 4}","{""6"": 1, ""9"": 6, ""14"": 35}","{""6"": 15, ""9"": 14, ""14"": 85}",non_bati
25356003,MAICHE,47.243,6.791,825,demuzere,14.0,14,14,"{""14"": 5}","{""6"": 5, ""9"": 6, ""12"": 5, ""14"": 26}","{""6"": 24, ""11"": 3, ""12"": 20, ""9"": 13, ""14"": 58}",non_bati
25372001,MEDIERE,47.456,6.601333,302,demuzere,6.0,6,11,"{""6"": 3, ""9"": 2}","{""11"": 8, ""6"": 17, ""9"": 12, ""12"": 5}","{""11"": 42, ""6"": 19, ""12"": 22, ""9"": 20, ""17"": 3, ""14"": 9}",non_bati
25413001,MOUTHE,46.707,6.2095,940,demuzere,9.0,12,11,"{""9"": 2}","{""14"": 10, ""12"": 13, ""9"": 2, ""11"": 13}","{""14"": 32, ""12"": 35, ""9"": 2, ""11"": 43}",non_bati
25453001,PIERREFONTAINE,47.216667,6.528833,695,demuzere,9.0,9,14,"{""9"": 6}","{""14"": 19, ""12"": 2, ""9"": 21}","{""12"": 15, ""14"": 64, ""9"": 38}",non_bati
25462001,PONTARLIER,46.927,6.32,808,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 38}","{""14"": 116}",non_bati
25494001,LA BOISSAUDE ROCHEJEAN,46.729,6.322833,1222,demuzere,12.0,11,11,"{""12"": 4}","{""11"": 24, ""12"": 17}","{""11"": 77, ""12"": 35}",non_bati
25512001,LE RUSSEY,47.162167,6.7375,891,demuzere,9.0,9,14,"{""9"": 5}","{""14"": 7, ""9"": 24, ""6"": 11}","{""14"": 55, ""9"": 33, ""12"": 1, ""6"": 27}",non_bati
25529002,SANCEY-LE-GRAND,47.3015,6.581667,490,demuzere,14.0,14,14,"{""14"": 5}","{""14"": 30, ""9"": 13}","{""14"": 81, ""9"": 34, ""6"": 2}",non_bati
25621001,VILLENEUVE-D'AMONT,46.9385,6.021333,663,demuzere,14.0,14,14,"{""14"": 5, ""12"": 1}","{""14"": 35, ""12"": 7}","{""14"": 89, ""12"": 25, ""11"": 2}",non_bati
26002003,ALBON,45.252333,4.822333,153,demuzere,14.0,14,14,"{""14"": 5}","{""9"": 3, ""14"": 37}","{""9"": 25, ""6"": 4, ""14"": 77, ""17"": 4, ""16"": 1}",non_bati
26035001,BEAUFORT-S-GERV,44.778,5.139,379,demuzere,9.0,9,9,"{""9"": 5}","{""14"": 7, ""9"": 31, ""12"": 1}","{""14"": 31, ""9"": 73, ""12"": 6}",bati_special
26047001,BELLEGARDE-EN-D,44.535167,5.454333,1017,demuzere,12.0,12,12,"{""12"": 5}","{""12"": 35, ""11"": 1, ""9"": 2}","{""12"": 84, ""11"": 24, ""9"": 3}",non_bati
26050001,BESIGNAN,44.3205,5.317,556,demuzere,9.0,9,9,"{""9"": 5}","{""14"": 8, ""9"": 32}","{""14"": 24, ""9"": 74, ""12"": 6, ""11"": 5}",bati_special
26056001,BOURDEAUX,44.580167,5.142833,432,demuzere,9.0,9,14,"{""9"": 6}","{""14"": 17, ""9"": 20, ""12"": 4}","{""9"": 36, ""14"": 50, ""12"": 24}",non_bati
26059001,BOUVANTE,44.955,5.326667,1071,demuzere,12.0,11,11,"{""12"": 3, ""11"": 2}","{""11"": 23, ""12"": 17}","{""11"": 83, ""12"": 28}",non_bati
26064001,VALENCE-CHABEUI,44.914833,4.971833,163,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 37, ""16"": 1}","{""14"": 102, ""9"": 4, ""16"": 3, ""8"": 1}",non_bati
26074001,CHAPELLE-EN-VERCORS_SAPC,44.9615,5.422167,879,demuzere,14.0,14,12,"{""12"": 1, ""14"": 3}","{""12"": 17, ""14"": 23}","{""12"": 57, ""14"": 49, ""9"": 2}",non_bati
26113003,DIE,44.767667,5.3435,384,demuzere,14.0,14,14,"{""14"": 2, ""9"": 2}","{""14"": 24, ""9"": 12, ""12"": 2}","{""9"": 42, ""14"": 65, ""12"": 2}",non_bati
26116002,DONZERE,44.429167,4.725333,66,demuzere,9.0,9,9,"{""14"": 2, ""9"": 3}","{""9"": 31, ""14"": 10}","{""14"": 28, ""9"": 72, ""12"": 7, ""6"": 3}",bati_special
26124001,ETOILE,44.819,4.8895,145,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 40}","{""9"": 13, ""14"": 94, ""12"": 2}",non_bati
26142001,GLANDAGE_SAPC,44.674667,5.615167,1007,demuzere,12.0,12,12,"{""12"": 5}","{""12"": 40, ""11"": 1}","{""12"": 92, ""11"": 18}",non_bati
26168001,LUS L CROIX HTE,44.672833,5.710833,1059,demuzere,12.0,12,14,"{""12"": 4}","{""12"": 25, ""14"": 15}","{""12"": 37, ""14"": 75}",non_bati
26179001,MERCUROL,45.0585,4.8835,153,demuzere,14.0,14,14,"{""14"": 5}","{""9"": 13, ""14"": 25}","{""9"": 52, ""14"": 60}",non_bati
26182001,MIRABEL-AUX-BAR,44.328667,5.100833,238,demuzere,14.0,14,14,"{""14"": 4}","{""14"": 32, ""9"": 7}","{""14"": 91, ""9"": 19, ""16"": 1}",non_bati
