NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_5j_max,TnMoy_5j_max
11016003,ARQUETTES-EN-VAL,43.100833,2.503333,240,1.0,15.419999999999998
11028001,BELCAIRE,42.8195,1.968,980,0.0,13.439999999999998
11069001,CARCASSONNE,43.215333,2.2955,128,0.0,15.739999999999998
11076001,CASTELNAUDARY,43.305333,1.949167,160,0.0,16.08
11081003,CAUNES-MINERVOIS,43.334333,2.481,371,4.0,20.619999999999997
11124003,DURBAN-CORBIERES,42.993333,2.819167,120,0.0,13.74
11136001,FANJEAUX_SAPC,43.202,2.07,182,0.0,16.68
11144001,FITOU,42.894667,2.995833,9,2.0,19.959999999999997
11159002,RIBOUISSE,43.182833,1.895833,302,0.0,14.819999999999999
11168001,GRANES,42.909167,2.2505,420,0.0,15.719999999999999
11181002,LABECEDE LAURAGAIS_SAPC,43.3895,2.022167,408,2.0,19.7
11185001,LAGRASSE,43.0915,2.621833,130,0.0,14.6
11202001,LEUCATE,42.917333,3.059667,42,2.0,20.12
11203004,LEZIGNAN-CORBIERES,43.173,2.728833,60,1.0,16.18
11206003,LIMOUX,43.046,2.201167,230,0.0,13.48
11221004,LES MARTYS,43.4085,2.292333,760,0.0,12.5
11253001,MONTOLIEU,43.312667,2.2405,280,0.0,17.880000000000003
11260002,MOUTHOUMET,42.9595,2.529,538,0.0,15.819999999999999
11262005,NARBONNE,43.150333,2.955833,110,2.0,19.76
11266001,PORT-LA-NOUVELLE,43.0145,3.0525,0,2.0,19.9
11412001,VILLARDEBELLE_SAPC,43.014833,2.4005,593,0.0,15.4
12005001,ALPUECH,44.756,2.868167,1107,0.0,12.940000000000001
12011001,ARVIEU,44.168167,2.620167,733,0.0,17.259999999999998
12014001,AURELLE-VERLAC_SAPC,44.533667,3.012833,1076,0.0,17.080000000000002
12039001,BRUSQUE_SAPC,43.7495,2.938667,858,2.0,19.8
12050001,CANET-DE-SALARS_SAPC,44.2335,2.737167,860,0.0,16.04
12063003,MILLAU-LARZAC_SAPC,43.987,3.181833,794,0.0,11.739999999999998
12068001,COLOMBIES,44.357833,2.317167,647,0.0,17.04
12077002,CORNUS,43.922333,3.192167,718,0.0,7.62
12092001,DURENQUE_SAPC,44.111833,2.6445,812,0.0,17.360000000000003
12094002,ENTRAYGUES SUR,44.6375,2.566167,292,0.0,12.779999999999998
12096001,ESPALION,44.515667,2.770167,360,0.0,11.139999999999999
12145001,MILLAU,44.1185,3.0195,712,0.0,16.619999999999997
12150001,MONTEILS,44.265667,1.991667,268,0.0,11.540000000000001
12154003,MONTLAUR,43.891667,2.836333,374,0.0,11.88
12179001,PEUX-ET-COUFFOULEUX_SAPC,43.761833,2.867167,830,0.0,16.6
12189001,PRADINAS_SAPC,44.242167,2.255833,564,0.0,18.24
12216001,ST-COME-D'OLT,44.514667,2.827833,380,0.0,12.18
12224001,ST-GENIEZ-D'OLT,44.463667,2.967667,420,0.0,11.620000000000001
12253001,SALLES CURAN,44.151833,2.866167,959,0.0,15.459999999999999
12254001,RODEZ-AVEYRON,44.410333,2.4825,578,0.0,12.400000000000002
12266002,SEGUR,44.2895,2.820333,879,0.0,17.119999999999997
12298001,VILLECOMTAL,44.530667,2.572,318,0.0,12.4
12300004,VILLEFRANCHE-DE-ROUERGUE,44.371833,2.023667,330,0.0,14.02
13001009,AIX EN PROVENCE,43.5295,5.4245,173,0.0,16.6
13004003,ARLES,43.51,4.693833,1,0.0,17.619999999999997
13005003,AUBAGNE,43.307333,5.601167,130,0.0,14.14
13022003,CASSIS,43.222167,5.503167,212,0.0,17.2
13028001,BEC DE L AIGLE,43.174667,5.574167,316,4.0,21.8
13030001,CUGES-LES-PINS,43.274,5.700167,184,0.0,13.14
13031002,LA DESTROUSSE_SAPC,43.386667,5.601,201,0.0,14.0
13036003,EYRAGUES,43.847167,4.834833,17,0.0,15.180000000000001
13047001,ISTRES,43.522667,4.9275,23,0.0,18.34
13054001,MARIGNANE,43.437,5.2115,6,0.0,16.9
