NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,lcz_source,lcz_category,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,ZONE
04023001,BAYONS,44.342667,6.178667,886,10,0,11.7,8.42,30.1,27.53,18.19,demuzere,non_bati,12.0,9,12,
04024004,BEAUJEU ST PIERRE,44.209833,6.385167,960,10,0,12.0,8.45,28.0,26.15,17.249999999999996,demuzere,non_bati,12.0,12,11,
04039001,CASTELLANE,43.849167,6.508,729,10,0,11.6,7.57,31.8,28.99,18.06,demuzere,urbain_aere,6.0,6,6,
04041001,LE CASTELLET,43.938333,5.9795,473,10,0,14.0,11.42,33.0,30.99,21.4,demuzere,bati_special,9.0,9,9,
04049001,ST AUBAN,44.062167,5.989667,458,10,0,15.7,13.5,32.0,29.890000000000004,21.71,demuzere,non_bati,12.0,6,14,
04068001,DAUPHIN,43.909833,5.767167,427,10,0,13.2,10.989999999999998,32.4,30.12,21.12,demuzere,non_bati,14.0,14,14,
04070009,DIGNE LES BAINS,44.07,6.186667,554,10,0,13.9,11.28,31.9,29.660000000000004,20.74,demuzere,non_bati,14.0,14,14,
04096002,JAUSIERS-ST ANNE,44.413667,6.725167,1240,10,0,11.0,7.479999999999999,30.9,28.01,17.1,demuzere,non_bati,9.0,12,12,
04096401,RESTEFOND-NIVOSE,44.34,6.8,2550,10,0,8.0,5.61,16.8,13.63,9.15,demuzere,non_bati,15.0,15,15,
04115001,MEAILLES_SAPC,44.031167,6.6295,1090,10,0,14.5,11.3,29.4,26.84,18.610000000000003,demuzere,non_bati,12.0,12,12,
04126001,MONTCLAR_SAPC,44.391833,6.333333,1197,10,0,11.4,8.780000000000001,29.0,26.520000000000003,17.21,demuzere,non_bati,12.0,12,12,
04134002,LA MOTTE DU CAIRE,44.326667,6.0305,665,10,0,11.0,8.45,32.3,29.65,18.81,demuzere,non_bati,14.0,12,12,
04136001,LA MURE-ARGENS,43.977,6.520167,920,10,0,11.2,7.37,30.7,27.87,17.31,demuzere,bati_special,9.0,9,9,
04184001,ST JURS,43.900833,6.2005,867,10,0,17.0,14.39,29.4,27.42,20.770000000000003,demuzere,non_bati,12.0,12,12,
04205001,SEYNE,44.3515,6.3645,1210,10,0,10.3,7.890000000000001,27.0,24.969999999999995,,demuzere,non_bati,12.0,12,12,
04209005,SISTERON,44.2245,5.916,500,10,0,13.7,11.07,32.6,30.01,21.06,demuzere,non_bati,14.0,14,14,
04219001,THORAME HAUTE,44.091667,6.557333,1155,10,0,12.6,9.21,28.0,24.860000000000003,,demuzere,non_bati,14.0,14,14,
04222001,TURRIERS,44.399,6.1695,1020,10,0,15.3,12.19,29.3,26.73,19.08,demuzere,bati_special,9.0,9,9,
04230001,VALENSOLE,43.8395,6.000833,600,10,0,16.1,13.330000000000002,31.7,29.54,21.7,demuzere,bati_special,9.0,14,9,
05001001,ABRIES,44.796667,6.928333,1560,10,0,7.1,4.84,27.2,24.02,,demuzere,non_bati,15.0,12,12,
05004001,ANCELLE,44.6245,6.209833,1354,10,0,12.4,9.32,26.5,24.62,16.94,demuzere,bati_special,9.0,9,9,
05007003,ARVIEUX,44.796,6.728,1825,10,0,10.2,7.720000000000001,24.3,21.950000000000003,14.45,demuzere,non_bati,15.0,15,15,
05026400,CEILLAC_NIVO,44.671167,6.776167,1665,9,0,10.2,7.799999999999999,25.8,22.94,,demuzere,non_bati,6.0,12,11,
05027001,CERVIERES,44.869333,6.7235,1614,10,0,10.1,7.43,26.9,24.15,15.4,demuzere,non_bati,15.0,15,15,
05032002,CHAMPOLEON,44.720167,6.258833,1275,10,0,10.0,7.42,29.9,27.33,,demuzere,non_bati,6.0,12,11,
05038001,CHATEAU-VILLE-VIEILLE,44.759333,6.809,1355,10,0,7.9,5.4,28.5,26.290000000000003,15.73,demuzere,non_bati,11.0,11,11,
05044400,PARPAILLON-NIVOSE,44.495333,6.636333,2545,10,0,8.2,6.130000000000001,14.1,12.16,9.06,demuzere,non_bati,15.0,15,15,
