NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_glissant_max,TnMoy_glissant_max,window_days,episode
5079001,LE MONETIER LES BAINS,44.9715,6.514167,1459,0.0,11.86,5,vague-chaleur-juillet-2019
5079402,GALIBIER-NIVOSE,45.056833,6.377167,2559,0.0,11.540000000000001,5,vague-chaleur-juillet-2019
5096404,ORCIERES-NIVOSE,44.719,6.333667,2280,0.0,12.24,5,vague-chaleur-juillet-2019
5098001,LES ORRES,44.508833,6.559333,1457,0.0,14.64,5,vague-chaleur-juillet-2019
5101001,PELVOUX,44.866833,6.486667,1270,0.0,14.319999999999999,5,vague-chaleur-juillet-2019
5101400,PELVOUX ST ANTOINE_NIVO,44.870833,6.487167,1270,,,5,vague-chaleur-juillet-2019
5118002,RIBIERS-GRANGE,44.198167,5.881167,530,0.0,17.1,5,vague-chaleur-juillet-2019
5120002,RISTOLAS,44.765667,6.9845,1670,0.0,8.4,5,vague-chaleur-juillet-2019
5126001,ROSANS,44.3875,5.462167,625,0.0,15.719999999999999,5,vague-chaleur-juillet-2019
5136002,ST CREPIN,44.7045,6.6,906,0.0,14.66,5,vague-chaleur-juillet-2019
5139002,ST ETIENNE-EN-DEVOLUY,44.6945,5.9405,1300,0.0,13.419999999999998,5,vague-chaleur-juillet-2019
5142001,ST FIRMIN,44.7825,6.035,935,0.0,15.059999999999999,5,vague-chaleur-juillet-2019
5145002,ST JEAN-ST-NICOLAS,44.670833,6.209833,1210,0.0,16.259999999999998,5,vague-chaleur-juillet-2019
5157001,ST VERAN,44.6985,6.870167,1992,0.0,13.020000000000001,5,vague-chaleur-juillet-2019
5158001,LE SAIX,44.475833,5.8155,801,0.0,14.219999999999999,5,vague-chaleur-juillet-2019
5170001,TALLARD,44.452167,6.033333,593,0.0,17.240000000000002,5,vague-chaleur-juillet-2019
5181002,VILLAR D'ARENE,45.030833,6.361667,1665,0.0,10.02,5,vague-chaleur-juillet-2019
5182001,VILLAR LOUBIERE,44.826833,6.146,1072,0.0,16.02,5,vague-chaleur-juillet-2019
5183001,VILLAR ST PANCRACE,44.880333,6.640333,1310,0.0,14.280000000000001,5,vague-chaleur-juillet-2019
6004004,ANTIBES-GOLF,43.579667,7.091167,13,3.0,21.025,5,vague-chaleur-juillet-2019
6004009,ANTIBES_SAPC,43.599167,7.111167,32,5.0,21.279999999999998,5,vague-chaleur-juillet-2019
6005001,ASCROS,43.922,7.013667,1173,1.0,19.42,5,vague-chaleur-juillet-2019
6029001,CANNES,43.5565,6.9505,2,5.0,21.479999999999997,5,vague-chaleur-juillet-2019
6033002,CARROS_SAPC,43.786667,7.209167,78,4.0,23.140000000000004,5,vague-chaleur-juillet-2019
6037002,CAUSSOLS,43.752333,6.923167,1268,0.0,18.86,5,vague-chaleur-juillet-2019
6038001,CHATEAUNEUF GRASSE,43.678333,6.996167,379,4.0,22.54,5,vague-chaleur-juillet-2019
6050002,COURSEGOULES_SAPC,43.792,7.0485,985,1.0,18.96,5,vague-chaleur-juillet-2019
6056400,ESTENC_NIVO,44.239167,6.753,1850,0.0,13.8,5,vague-chaleur-juillet-2019
6059003,EZE,43.738833,7.365833,704,4.0,22.6,5,vague-chaleur-juillet-2019
6071001,GUILLAUMES-OBS,44.090667,6.852333,788,0.0,15.820000000000002,5,vague-chaleur-juillet-2019
6073005,ISOLA 2000,44.1895,7.149,1912,0.0,10.780000000000001,5,vague-chaleur-juillet-2019
6073405,ISOLA_NIVO,44.1895,7.149,1912,0.0,10.4,5,vague-chaleur-juillet-2019
6074005,LANTOSQUE_SAPC,43.972,7.307,550,0.0,17.38,5,vague-chaleur-juillet-2019
6075007,LEVENS,43.846333,7.21,691,4.0,20.5,5,vague-chaleur-juillet-2019
6077006,PEIRA CAVA,43.929167,7.363333,1443,0.0,17.839999999999996,5,vague-chaleur-juillet-2019
6079002,MANDELIEU LA NAPOULE_SAPC,43.523667,6.898667,104,5.0,21.479999999999997,5,vague-chaleur-juillet-2019
6081001,LE MAS,43.813667,6.809333,1525,0.0,18.119999999999997,5,vague-chaleur-juillet-2019
6083005,MENTON,43.785833,7.488667,216,5.0,24.34,5,vague-chaleur-juillet-2019
6088001,NICE,43.648833,7.209,2,5.0,25.080000000000002,5,vague-chaleur-juillet-2019
6088007,NICE-RIMIEZ,43.738667,7.279167,238,4.0,22.259999999999998,5,vague-chaleur-juillet-2019
6090002,PEGOMAS,43.602667,6.936667,109,4.0,21.76,5,vague-chaleur-juillet-2019
6091003,PEILLE,43.775167,7.428333,1106,3.0,20.080000000000002,5,vague-chaleur-juillet-2019
6094002,PEONE,44.099667,6.930833,1784,0.0,16.32,5,vague-chaleur-juillet-2019
6099004,PUGET THENIERS_SAPC,43.956833,6.892333,449,0.0,18.46,5,vague-chaleur-juillet-2019
6102001,RIMPLAS_SAPC,44.067167,7.1335,1130,1.0,19.619999999999997,5,vague-chaleur-juillet-2019
6118002,ST CEZAIRE SUR SIAGNE,43.678667,6.809,694,4.0,20.2,5,vague-chaleur-juillet-2019
6120004,ST ETIENNE DE TINEE_SAPC,44.257667,6.921167,1150,0.0,15.9,5,vague-chaleur-juillet-2019
6125001,ST MARTIN D'ENTRAUNES_SAPC,44.154667,6.747,1642,0.0,17.240000000000002,5,vague-chaleur-juillet-2019
6127006,SAINT MARTIN VESUBIE_SAPC,44.065667,7.255,899,0.0,16.24,5,vague-chaleur-juillet-2019
6136005,SOSPEL,43.862833,7.433667,843,4.0,21.959999999999997,5,vague-chaleur-juillet-2019
6152002,VALBONNE-SOPHIA,43.623167,7.0285,238,5.0,24.04,5,vague-chaleur-juillet-2019
6153400,MILLEFONTS-NIVOSE,44.118333,7.192,2430,0.0,12.8,5,vague-chaleur-juillet-2019
