NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,NTrop_abs,NTrop_taux,episode,episode_label
40031001,BEGAAR,43.833167,-0.836,19,14,2,22.0,15.942857142857145,40.7,34.95714285714286,24.728571428571428,2,0.14285714285714285,vague-chaleur-juillet-2022,jul22
40033001,BELIS,44.063833,-0.453833,85,14,1,21.9,14.964285714285714,42.1,36.33571428571429,25.14285714285715,1,0.07142857142857142,vague-chaleur-juillet-2022,jul22
40046001,BISCARROSSE,44.431667,-1.2475,35,14,6,23.4,19.757142857142856,42.6,31.50714285714286,25.11428571428572,6,0.42857142857142855,vague-chaleur-juillet-2022,jul22
40065002,CAPBRETON,43.627333,-1.453333,11,14,7,23.1,19.521428571428576,40.5,29.75714285714286,24.349999999999994,7,0.5,vague-chaleur-juillet-2022,jul22
40087001,CREON D'ARMAGNAC,43.9935,-0.045,150,14,2,21.4,15.242857142857142,39.5,34.628571428571426,24.807142857142853,2,0.14285714285714285,vague-chaleur-juillet-2022,jul22
40088001,DAX,43.689833,-1.07,31,14,4,21.4,18.571428571428573,40.2,33.83571428571428,25.47142857142857,4,0.2857142857142857,vague-chaleur-juillet-2022,jul22
40164004,CAPTIEUX-RETJONS,44.185,-0.286167,131,14,3,22.2,16.235714285714288,40.1,34.59285714285715,25.49285714285714,3,0.21428571428571427,vague-chaleur-juillet-2022,jul22
40192001,MONT-DE-MARSAN,43.909833,-0.500167,59,14,3,22.4,17.171428571428574,40.8,35.31428571428571,26.08571428571428,3,0.21428571428571427,vague-chaleur-juillet-2022,jul22
40218002,PARLEBOSCQ,43.936667,0.044167,155,14,3,21.1,17.628571428571426,38.8,34.15714285714286,25.457142857142856,3,0.21428571428571427,vague-chaleur-juillet-2022,jul22
40227001,PISSOS,44.313667,-0.787333,56,14,1,20.5,14.478571428571428,42.3,34.94285714285714,24.40714285714285,1,0.07142857142857142,vague-chaleur-juillet-2022,jul22
40243001,RION-DES-LANDES,43.916333,-0.950833,77,14,2,21.1,16.171428571428567,40.8,34.621428571428574,25.15,2,0.14285714285714285,vague-chaleur-juillet-2022,jul22
