NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,NTrop_abs,NTrop_taux,episode,episode_label
24516002,SALIGNAC-EYVIGUES,44.936667,1.364667,276,11,4,22.6,19.76363636363636,38.7,32.918181818181814,26.33636363636364,4,0.36363636363636365,canicule-aout-2023,aou23
24547002,TERRASSON-LAVILLEDIEU,45.1355,1.2925,90,11,4,21.8,19.672727272727272,40.0,34.081818181818186,26.13636363636364,4,0.36363636363636365,canicule-aout-2023,aou23
24550003,THENON,45.112667,1.0385,265,11,4,24.4,19.9,38.5,32.60909090909091,25.509090909090904,4,0.36363636363636365,canicule-aout-2023,aou23
25021001,ARC-ET-SENANS,47.0315,5.782,235,11,0,19.6,18.154545454545453,38.5,32.53636363636364,25.036363636363635,0,0.0,canicule-aout-2023,aou23
25047001,BAUME-LES-DAMES,47.347167,6.350333,267,11,2,20.0,18.290909090909093,38.4,32.89090909090908,25.045454545454547,2,0.18181818181818182,canicule-aout-2023,aou23
25056001,BESANCON,47.249,5.988833,307,11,4,20.7,19.145454545454548,36.0,31.40909090909091,24.9,4,0.36363636363636365,canicule-aout-2023,aou23
25087002,BRANNE_SAPC,47.378,6.472167,287,11,0,19.5,17.245454545454546,37.7,32.50909090909091,24.3,0,0.0,canicule-aout-2023,aou23
25127001,CHARQUEMONT,47.218833,6.815,884,11,0,18.5,16.336363636363636,35.2,29.94545454545455,22.509090909090915,0,0.0,canicule-aout-2023,aou23
25219002,EPENOY,47.127167,6.366333,752,11,1,20.9,18.672727272727272,35.3,29.072727272727278,23.609090909090916,1,0.09090909090909091,canicule-aout-2023,aou23
25222001,ETALANS_SAPC,47.1525,6.210167,540,11,0,16.9,14.82727272727273,35.8,30.454545454545453,22.55454545454546,0,0.0,canicule-aout-2023,aou23
25223002,COULANS,47.023333,6.0205,468,11,0,18.9,16.736363636363635,38.7,32.0,23.87272727272727,0,0.0,canicule-aout-2023,aou23
25254001,LES FOURGS,46.834,6.4365,1140,11,0,15.0,12.263636363636362,32.8,28.49090909090909,19.972727272727276,0,0.0,canicule-aout-2023,aou23
25285001,GRAND'COMBE-CHATELEU_SAPC,47.019167,6.567167,769,11,0,16.2,12.836363636363638,35.6,31.181818181818187,21.50909090909091,0,0.0,canicule-aout-2023,aou23
25320001,LABERGEMENT,46.779667,6.2795,863,11,0,15.7,12.727272727272728,35.5,31.781818181818178,21.327272727272728,0,0.0,canicule-aout-2023,aou23
25334001,LEVIER_SAPC,46.949333,6.124167,713,11,0,17.3,14.727272727272728,34.3,30.527272727272727,22.5,0,0.0,canicule-aout-2023,aou23
25356003,MAICHE,47.243,6.791,825,11,0,16.9,14.372727272727271,34.9,29.481818181818184,21.83636363636364,0,0.0,canicule-aout-2023,aou23
25372001,MEDIERE,47.456,6.601333,302,11,0,19.4,17.563636363636363,37.8,32.93636363636363,24.272727272727277,0,0.0,canicule-aout-2023,aou23
25413001,MOUTHE,46.707,6.2095,940,11,0,15.8,12.172727272727274,34.0,30.181818181818183,20.71818181818182,0,0.0,canicule-aout-2023,aou23
25453001,PIERREFONTAINE,47.216667,6.528833,695,11,0,16.4,13.6,35.9,30.44545454545454,21.99090909090909,0,0.0,canicule-aout-2023,aou23
25462001,PONTARLIER,46.927,6.32,808,11,0,19.6,16.44545454545454,37.0,32.72727272727273,23.91818181818181,0,0.0,canicule-aout-2023,aou23
25494001,LA BOISSAUDE ROCHEJEAN,46.729,6.322833,1222,11,0,17.4,15.272727272727275,31.9,27.845454545454547,21.163636363636364,0,0.0,canicule-aout-2023,aou23
25512001,LE RUSSEY,47.162167,6.7375,891,11,0,17.4,14.872727272727271,34.6,30.209090909090914,22.30909090909091,0,0.0,canicule-aout-2023,aou23
25529002,SANCEY-LE-GRAND,47.3015,6.581667,490,11,0,19.3,17.009090909090908,36.9,31.709090909090904,23.89090909090909,0,0.0,canicule-aout-2023,aou23
26002003,ALBON,45.252333,4.822333,153,11,3,22.3,18.672727272727272,41.2,38.21818181818182,28.409090909090917,3,0.2727272727272727,canicule-aout-2023,aou23
26035001,BEAUFORT-S-GERV,44.778,5.139,379,11,6,23.4,20.38181818181818,40.2,36.68181818181818,28.236363636363635,6,0.5454545454545454,canicule-aout-2023,aou23
26047001,BELLEGARDE-EN-D,44.535167,5.454333,1017,11,4,21.9,18.736363636363635,36.9,32.71818181818182,25.363636363636363,4,0.36363636363636365,canicule-aout-2023,aou23
26050001,BESIGNAN,44.3205,5.317,556,11,3,21.6,18.77272727272727,38.2,35.10909090909091,26.890909090909087,3,0.2727272727272727,canicule-aout-2023,aou23
26056001,BOURDEAUX,44.580167,5.142833,432,11,0,17.0,14.509090909090906,40.8,36.79090909090908,25.35454545454546,0,0.0,canicule-aout-2023,aou23
26059001,BOUVANTE,44.955,5.326667,1071,11,0,17.2,13.854545454545452,33.4,30.727272727272727,,0,0.0,canicule-aout-2023,aou23
26064001,VALENCE-CHABEUI,44.914833,4.971833,163,11,4,22.4,18.754545454545458,40.9,37.95454545454545,28.3,4,0.36363636363636365,canicule-aout-2023,aou23
26074001,CHAPELLE-EN-VERCORS_SAPC,44.9615,5.422167,879,11,1,20.5,16.900000000000002,36.4,33.86363636363637,24.90909090909091,1,0.09090909090909091,canicule-aout-2023,aou23
26113003,DIE,44.767667,5.3435,384,11,0,17.8,14.809090909090912,40.9,37.98181818181818,26.281818181818185,0,0.0,canicule-aout-2023,aou23
26116002,DONZERE,44.429167,4.725333,66,11,4,22.6,18.48181818181818,41.8,38.7909090909091,28.654545454545453,4,0.36363636363636365,canicule-aout-2023,aou23
26124001,ETOILE,44.819,4.8895,145,11,6,22.5,19.581818181818186,39.7,37.17272727272727,28.490909090909096,6,0.5454545454545454,canicule-aout-2023,aou23
26142001,GLANDAGE_SAPC,44.674667,5.615167,1007,11,1,20.3,16.972727272727273,36.6,33.99090909090909,24.70909090909091,1,0.09090909090909091,canicule-aout-2023,aou23
26168001,LUS L CROIX HTE,44.672833,5.710833,1059,11,0,17.7,13.372727272727277,35.7,33.64545454545455,23.13636363636364,0,0.0,canicule-aout-2023,aou23
26179001,MERCUROL,45.0585,4.8835,153,11,6,23.5,19.472727272727276,41.0,38.16363636363637,28.67272727272728,6,0.5454545454545454,canicule-aout-2023,aou23
26182001,MIRABEL-AUX-BAR,44.328667,5.100833,238,11,0,19.1,16.509090909090908,40.0,37.25454545454546,26.70909090909091,0,0.0,canicule-aout-2023,aou23
26189001,MONTAUBAN-S-OUV,44.276,5.478333,689,11,0,18.1,15.6,37.6,34.85454545454546,25.11818181818182,0,0.0,canicule-aout-2023,aou23
26198001,MONTELIMAR,44.581167,4.733,73,11,6,24.9,19.245454545454542,40.1,37.61818181818182,28.281818181818185,6,0.5454545454545454,canicule-aout-2023,aou23
26211001,MONTSEGUR-S-LAU,44.3615,4.860833,146,11,4,22.1,19.045454545454547,42.2,38.91818181818182,28.9,4,0.36363636363636365,canicule-aout-2023,aou23
26258001,PUY-ST-MARTIN,44.618167,4.976833,211,11,6,24.9,20.827272727272728,43.5,38.536363636363646,28.954545454545453,6,0.5454545454545454,canicule-aout-2023,aou23
26273002,ROCHEFORT-SAMSON_SAPC,44.990667,5.165167,368,11,5,21.7,19.42727272727273,38.8,36.11818181818182,27.58181818181818,5,0.45454545454545453,canicule-aout-2023,aou23
26281001,ROMANS_SAPC,45.050167,4.998667,156,11,2,22.7,17.8,40.8,37.690909090909095,27.55454545454545,2,0.18181818181818182,canicule-aout-2023,aou23
26290002,COL DE ROUSSET_SAPC,44.841667,5.421667,1400,11,2,20.5,18.13636363636364,30.1,28.09090909090909,22.772727272727277,2,0.18181818181818182,canicule-aout-2023,aou23
26292002,ST-AUBAN-SUR-OUVEZE,44.294833,5.409833,625,11,0,18.7,15.57272727272727,38.3,35.309090909090905,25.818181818181817,0,0.0,canicule-aout-2023,aou23
26295001,ST-BARTHELEMY-V_SAPC,45.173833,4.9025,203,11,1,20.8,17.236363636363638,42.5,38.43636363636363,27.79090909090909,1,0.09090909090909091,canicule-aout-2023,aou23
26298001,ST-CHRISTOPHE-L_SAPC,45.229333,5.071833,452,11,8,23.6,21.0,37.7,34.43636363636364,27.427272727272733,8,0.7272727272727273,canicule-aout-2023,aou23
26307001,ST-JEAN-EN-ROYA,45.009167,5.2925,308,11,1,20.4,17.62727272727273,39.4,36.16363636363636,26.045454545454547,1,0.09090909090909091,canicule-aout-2023,aou23
26313001,ST-MARCEL-LES-V-INRAE,44.980167,4.931333,190,11,5,24.7,19.454545454545453,39.0,36.845454545454544,28.21818181818181,5,0.45454545454545453,canicule-aout-2023,aou23
26327001,ST ROMAN-DIOIS,44.693833,5.428333,545,11,1,20.1,17.509090909090908,41.6,38.85454545454546,27.4,1,0.09090909090909091,canicule-aout-2023,aou23
26328001,ST SAUVEUR EN DIOIS,44.682667,5.157833,338,11,5,22.0,19.581818181818186,40.3,37.50000000000001,28.12727272727273,5,0.45454545454545453,canicule-aout-2023,aou23
26330001,ST-SORLIN-EN-VA,45.271167,4.930333,237,11,5,22.2,19.290909090909093,39.5,37.11818181818182,27.99090909090909,5,0.45454545454545453,canicule-aout-2023,aou23
26340001,SEDERON,44.202333,5.538833,804,11,0,14.1,11.29090909090909,37.7,34.290909090909096,23.13636363636364,0,0.0,canicule-aout-2023,aou23
26361001,VALDROME,44.505333,5.576667,786,11,0,12.9,10.590909090909092,39.4,35.63636363636363,22.48181818181818,0,0.0,canicule-aout-2023,aou23
26377003,VINSOBRES,44.337333,5.060167,346,11,8,24.2,21.536363636363635,43.0,39.00909090909091,29.50909090909091,8,0.7272727272727273,canicule-aout-2023,aou23
27016001,LES ANDELYS,49.244667,1.412833,16,11,0,19.8,15.863636363636363,31.6,28.309090909090912,21.481818181818184,0,0.0,canicule-aout-2023,aou23
27056003,BERNAY,49.101333,0.559833,166,11,0,18.0,14.809090909090909,30.4,26.809090909090912,20.245454545454542,0,0.0,canicule-aout-2023,aou23
27100001,BOULLEVILLE,49.361,0.392833,122,11,0,19.5,15.28181818181818,29.1,25.53636363636364,19.7,0,0.0,canicule-aout-2023,aou23
27112001,BRETEUIL,48.8375,0.907667,168,11,0,18.5,15.554545454545456,32.1,28.454545454545453,21.354545454545452,0,0.0,canicule-aout-2023,aou23
27306001,GUICHAINVILLE,48.977,1.181667,147,11,0,19.9,16.29090909090909,32.0,28.109090909090916,21.80909090909091,0,0.0,canicule-aout-2023,aou23
27347001,EVREUX-HUEST,49.025,1.221667,138,11,1,20.4,16.363636363636363,31.3,27.61818181818182,21.59090909090909,1,0.09090909090909091,canicule-aout-2023,aou23
27375001,LOUVIERS,49.204167,1.187167,25,11,0,19.8,16.245454545454546,31.7,28.90909090909091,21.91818181818182,0,0.0,canicule-aout-2023,aou23
