NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NDays,NTrop,TnMax,TnMoy,TxMax,TxMoy,TmMoy,NTrop_abs,NTrop_taux,episode,episode_label
3285001,TORTEZAIS_SAPC,46.451333,2.857,256,7,0,19.3,16.314285714285713,40.5,37.785714285714285,27.328571428571426,0,0.0,vague-chaleur-juin-2019,jun19
3310001,VICHY-VILLE,46.117667,3.439,255,7,1,20.5,18.228571428571428,41.0,38.1,28.242857142857144,1,0.14285714285714285,vague-chaleur-juin-2019,jun19
3321001,YZEURE,46.579167,3.352833,242,7,1,20.1,17.5,40.9,38.32857142857143,28.11428571428572,1,0.14285714285714285,vague-chaleur-juin-2019,jun19
4006005,ALLOS_SAPC,44.2425,6.625333,1400,7,0,14.0,12.2,34.5,31.214285714285715,20.37142857142857,0,0.0,vague-chaleur-juin-2019,jun19
4019001,BARCELONNETTE,44.391167,6.670167,1155,7,0,12.7,9.957142857142856,36.7,34.2,21.7,0,0.0,vague-chaleur-juin-2019,jun19
4027002,BEVONS,44.167,5.861833,520,7,0,18.0,15.071428571428571,34.0,33.642857142857146,,0,0.0,vague-chaleur-juin-2019,jun19
4039001,CASTELLANE,43.849167,6.508,729,7,0,15.5,12.400000000000002,40.8,35.28571428571429,24.475,0,0.0,vague-chaleur-juin-2019,jun19
4045001,CERESTE,43.850667,5.566,350,7,0,18.1,14.528571428571428,42.6,37.75714285714286,,0,0.0,vague-chaleur-juin-2019,jun19
4049001,ST AUBAN,44.062167,5.989667,458,7,3,23.3,18.27142857142857,42.2,36.7,27.28571428571428,3,0.42857142857142855,vague-chaleur-juin-2019,jun19
4068001,DAUPHIN,43.909833,5.767167,427,7,0,19.2,15.642857142857144,42.1,36.8,26.442857142857143,0,0.0,vague-chaleur-juin-2019,jun19
4070009,DIGNE LES BAINS,44.07,6.186667,554,7,0,19.7,16.9,42.1,36.81428571428571,26.571428571428573,0,0.0,vague-chaleur-juin-2019,jun19
4096002,JAUSIERS-ST ANNE,44.413667,6.725167,1240,7,0,15.0,13.857142857142858,37.0,33.357142857142854,,0,0.0,vague-chaleur-juin-2019,jun19
4096401,RESTEFOND-NIVOSE,44.34,6.8,2550,7,0,14.9,11.914285714285716,23.0,20.61428571428572,16.37142857142857,0,0.0,vague-chaleur-juin-2019,jun19
4115001,MEAILLES_SAPC,44.031167,6.6295,1090,7,0,19.0,16.857142857142858,38.3,33.84285714285715,24.300000000000004,0,0.0,vague-chaleur-juin-2019,jun19
4126001,MONTCLAR_SAPC,44.391833,6.333333,1197,7,0,16.7,14.457142857142856,35.0,32.471428571428575,22.61428571428572,0,0.0,vague-chaleur-juin-2019,jun19
4134002,LA MOTTE DU CAIRE,44.326667,6.0305,665,7,0,16.0,12.971428571428572,40.0,35.98571428571428,24.257142857142856,0,0.0,vague-chaleur-juin-2019,jun19
4136001,LA MURE-ARGENS,43.977,6.520167,920,7,0,14.5,12.400000000000002,37.3,33.74285714285714,22.314285714285717,0,0.0,vague-chaleur-juin-2019,jun19
4158002,QUINSON,43.7075,6.039833,400,7,0,19.0,15.457142857142856,44.0,37.2,,0,0.0,vague-chaleur-juin-2019,jun19
4184001,ST JURS,43.900833,6.2005,867,7,4,22.0,18.857142857142858,38.0,33.285714285714285,,4,0.5714285714285714,vague-chaleur-juin-2019,jun19
4209005,SISTERON,44.2245,5.916,500,7,0,18.6,15.842857142857143,41.0,37.21428571428572,26.828571428571426,0,0.0,vague-chaleur-juin-2019,jun19
4217002,THOARD,44.146833,6.138833,732,7,0,17.0,14.242857142857142,40.1,35.41428571428572,,0,0.0,vague-chaleur-juin-2019,jun19
4222001,TURRIERS,44.399,6.1695,1020,7,0,19.0,17.642857142857142,37.0,34.5,,0,0.0,vague-chaleur-juin-2019,jun19
4230001,VALENSOLE,43.8395,6.000833,600,7,3,22.4,19.342857142857145,41.1,35.128571428571426,27.085714285714285,3,0.42857142857142855,vague-chaleur-juin-2019,jun19
5007001,ARVIEUX LA CHALP,44.781167,6.736667,1690,7,0,12.2,10.828571428571427,32.2,30.385714285714283,,0,0.0,vague-chaleur-juin-2019,jun19
5007003,ARVIEUX,44.796,6.728,1825,7,0,15.2,13.671428571428573,30.4,28.65714285714285,20.77142857142857,0,0.0,vague-chaleur-juin-2019,jun19
5026001,CEILLAC,44.671167,6.776167,1665,7,0,16.3,13.285714285714286,31.6,28.84285714285715,,0,0.0,vague-chaleur-juin-2019,jun19
5044400,PARPAILLON-NIVOSE,44.495333,6.636333,2545,7,0,16.0,13.414285714285716,21.5,19.24285714285714,16.61428571428571,0,0.0,vague-chaleur-juin-2019,jun19
5046001,EMBRUN,44.571167,6.508667,873,7,2,21.8,18.91428571428571,38.4,35.05714285714286,26.300000000000004,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
5055001,LA FAURIE,44.566667,5.750167,825,7,0,15.1,11.9,37.5,34.7,23.028571428571432,0,0.0,vague-chaleur-juin-2019,jun19
5061009,GAP,44.577667,6.079833,885,7,2,20.3,17.414285714285715,37.7,35.628571428571426,25.65714285714285,2,0.2857142857142857,vague-chaleur-juin-2019,jun19
5063402,LA MEIJE-NIVOSE,45.012333,6.265167,3093,7,0,12.3,10.514285714285714,17.2,15.3,12.62857142857143,0,0.0,vague-chaleur-juin-2019,jun19
5064001,CHAPELLE-EN-VALGAUDEMAR,44.81,6.195333,1270,7,0,14.6,11.62857142857143,33.2,31.514285714285712,,0,0.0,vague-chaleur-juin-2019,jun19
5070003,LARAGNE MONTEGLIN,44.319167,5.7945,565,7,0,18.5,16.042857142857144,41.1,37.21428571428572,25.942857142857143,0,0.0,vague-chaleur-juin-2019,jun19
5077402,COL AGNEL-NIVOSE,44.688667,6.976167,2627,7,0,14.8,12.285714285714288,21.7,19.928571428571427,16.014285714285716,0,0.0,vague-chaleur-juin-2019,jun19
5079001,LE MONETIER LES BAINS,44.9715,6.514167,1459,7,0,12.5,10.714285714285714,33.7,31.95714285714285,,0,0.0,vague-chaleur-juin-2019,jun19
5079402,GALIBIER-NIVOSE,45.056833,6.377167,2559,7,0,14.0,11.8,21.4,19.814285714285717,15.842857142857142,0,0.0,vague-chaleur-juin-2019,jun19
5096404,ORCIERES-NIVOSE,44.719,6.333667,2280,7,0,17.9,14.571428571428571,24.3,21.32857142857143,18.185714285714287,0,0.0,vague-chaleur-juin-2019,jun19
5098001,LES ORRES,44.508833,6.559333,1457,7,0,18.4,15.714285714285714,32.7,29.714285714285715,,0,0.0,vague-chaleur-juin-2019,jun19
5101001,PELVOUX,44.866833,6.486667,1270,7,0,14.8,13.22857142857143,35.7,33.1,,0,0.0,vague-chaleur-juin-2019,jun19
5118002,RIBIERS-GRANGE,44.198167,5.881167,530,7,0,18.4,15.914285714285716,40.9,37.12857142857143,,0,0.0,vague-chaleur-juin-2019,jun19
5120002,RISTOLAS,44.765667,6.9845,1670,7,0,9.0,7.242857142857142,32.6,30.328571428571426,18.500000000000004,0,0.0,vague-chaleur-juin-2019,jun19
5126001,ROSANS,44.3875,5.462167,625,7,0,17.8,14.842857142857143,39.7,38.04285714285714,26.22857142857143,0,0.0,vague-chaleur-juin-2019,jun19
5136002,ST CREPIN,44.7045,6.6,906,7,0,16.0,13.5,37.7,34.8,23.814285714285717,0,0.0,vague-chaleur-juin-2019,jun19
5139002,ST ETIENNE-EN-DEVOLUY,44.6945,5.9405,1300,7,0,14.7,12.585714285714287,33.5,31.7,,0,0.0,vague-chaleur-juin-2019,jun19
5142001,ST FIRMIN,44.7825,6.035,935,7,0,17.0,14.671428571428573,36.0,34.371428571428574,,0,0.0,vague-chaleur-juin-2019,jun19
5145002,ST JEAN-ST-NICOLAS,44.670833,6.209833,1210,7,0,17.4,15.785714285714286,34.1,31.228571428571428,22.9,0,0.0,vague-chaleur-juin-2019,jun19
