NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,NTrop_glissant_max,TnMoy_glissant_max,window_days,episode
7105001,ISSANLAS,44.773167,3.981667,1215,0.0,15.5,5,canicule-aout-2003
7110001,JOYEUSE,44.477667,4.230833,212,3.0,20.34,5,canicule-aout-2003
7117001,LABLACHERE DROME,44.461333,4.234833,265,5.0,21.479999999999997,5,canicule-aout-2003
7117002,LABLACHERE,44.480833,4.208333,295,5.0,21.4,5,canicule-aout-2003
7128001,LALOUVESC,45.117833,4.535,1090,2.0,19.3,5,canicule-aout-2003
7131001,LANAS SYN,44.537167,4.368167,265,3.0,20.68,5,canicule-aout-2003
7144001,LOUBARESSE,44.599833,4.049333,1200,5.0,21.48,5,canicule-aout-2003
7154005,MAZAN ABBAYE RAD,44.733833,4.083833,1240,2.0,19.759999999999998,5,canicule-aout-2003
7159001,MIRABEL SA,44.5815,4.497333,275,1.0,19.060000000000002,5,canicule-aout-2003
7161001,MONTPEZAT SA,44.715667,4.207,602,5.0,21.74,5,canicule-aout-2003
7168001,ORGNAC AVEN,44.288333,4.421667,230,5.0,21.42,5,canicule-aout-2003
7172002,PEAUGRES RAD,45.286167,4.705833,480,5.0,23.259999999999998,5,canicule-aout-2003
7185001,PREAUX SA,45.14,4.665,525,5.0,22.580000000000002,5,canicule-aout-2003
7192001,ROCHEPAULE SA,45.081667,4.453333,1055,5.0,23.18,5,canicule-aout-2003
7202002,SABLIERES OARA,44.533,4.0725,540,5.0,23.619999999999997,5,canicule-aout-2003
7204005,ST-AGREVE,45.012167,4.401,1072,2.0,18.9,5,canicule-aout-2003
7228001,ST-DESIRAT SA,45.260333,4.783667,275,5.0,21.76,5,canicule-aout-2003
7230002,ESCRINET SA,44.715333,4.4905,737,2.0,19.32,5,canicule-aout-2003
7232001,ST-ETIENNE LUGDARES,44.651333,3.9485,1022,0.0,11.2,5,canicule-aout-2003
7237001,ST-FORTUNAT,44.816667,4.661667,205,2.0,20.04,5,canicule-aout-2003
7261001,ST-LAURENT PAPE,44.817833,4.746833,112,5.0,21.1,5,canicule-aout-2003
7265001,ST-MARCEL ANNONAY,45.296,4.642,494,1.0,19.7,5,canicule-aout-2003
7286004,ST PVILLE S.A.,44.82,4.488333,640,3.0,21.3,5,canicule-aout-2003
7294001,ST-SAUVEUR SA,44.296,4.26,149,2.0,19.72,5,canicule-aout-2003
7330004,VALLON SA,44.391833,4.403667,120,1.0,18.46,5,canicule-aout-2003
7331001,VALS-LES-BAINS,44.6695,4.360667,283,2.0,20.02,5,canicule-aout-2003
7334003,LES VANS SA,44.411667,4.118,275,5.0,23.139999999999997,5,canicule-aout-2003
7338001,VERNOUX,44.8995,4.652333,561,1.0,18.6,5,canicule-aout-2003
7338005,VERNOUX SA,44.893333,4.626667,510,0.0,14.84,5,canicule-aout-2003
8025001,ATTIGNY,49.475,4.575,81,1.0,18.880000000000003,5,canicule-aout-2003
8046001,BANOGNE-RECOUVRANCE,49.571667,4.129167,130,5.0,20.8,5,canicule-aout-2003
8092001,CAUROY,49.346833,4.465167,139,1.0,18.98,5,canicule-aout-2003
8105003,MONTCY-ST-PIER,49.773667,4.739667,145,2.0,19.4,5,canicule-aout-2003
8105005,CHARLEVILLE-MEZ,49.782833,4.643167,145,0.0,15.640000000000004,5,canicule-aout-2003
8116001,LE CHESNE,49.510333,4.766167,168,2.0,19.2,5,canicule-aout-2003
8145001,DOUZY,49.658,5.039833,153,0.0,16.46,5,canicule-aout-2003
8207001,HAM-SUR-MEUSE,50.116,4.7795,109,0.0,17.380000000000003,5,canicule-aout-2003
8239001,JUNIVILLE,49.397333,4.371667,90,0.0,17.36,5,canicule-aout-2003
8255001,LINAY,49.616833,5.216833,177,0.0,16.7,5,canicule-aout-2003
8354001,RAUCOURT - MAN,49.605,4.96,200,0.0,17.0,5,canicule-aout-2003
8362002,RETHEL - MAN,49.5025,4.363667,71,2.0,18.78,5,canicule-aout-2003
8362003,RETHEL,49.516667,4.373333,115,0.0,17.619999999999997,5,canicule-aout-2003
8363001,REVIN,49.9325,4.626667,130,0.0,17.6,5,canicule-aout-2003
8367001,ROCROI - MAN,49.921667,4.52,386,1.0,19.56,5,canicule-aout-2003
8367002,ROCROI,49.918667,4.53,382,2.0,19.3,5,canicule-aout-2003
8419001,SIGNY-L'ABBAYE,49.686,4.418833,180,0.0,17.22,5,canicule-aout-2003
8490001,VOUZIERS,49.404167,4.704,96,1.0,19.14,5,canicule-aout-2003
