NUM_POSTE,NOM_USUEL,LAT,LON,ALTI,lcz_source,lcz_dom_100m,lcz_dom_300m,lcz_dom_500m,lcz_comp_100m,lcz_comp_300m,lcz_comp_500m,lcz_category
48030001,MENDE-BRENOUX,44.506,3.527333,1019,demuzere,12.0,12.0,12.0,"{""12"": 4}","{""12"": 22, ""11"": 2, ""14"": 4}","{""12"": 51, ""11"": 12, ""14"": 16}",non_bati
48039001,CHANAC,44.465333,3.3405,672,demuzere,13.0,12.0,12.0,"{""13"": 1, ""6"": 1}","{""12"": 10, ""11"": 2, ""13"": 9, ""6"": 7}","{""12"": 37, ""14"": 2, ""11"": 12, ""13"": 20, ""6"": 8}",non_bati
48040001,CHASSERADES,44.5375,3.834333,1052,demuzere,12.0,12.0,12.0,"{""12"": 2}","{""12"": 25, ""13"": 1}","{""12"": 58, ""13"": 6, ""11"": 12}",non_bati
48043001,CHATEAUNEUF-DE-RANDON,44.638167,3.679833,1247,demuzere,12.0,12.0,12.0,"{""12"": 3, ""14"": 1}","{""12"": 21, ""14"": 8}","{""12"": 59, ""14"": 21}",non_bati
48049001,CHIRAC,44.536667,3.216667,1000,demuzere,12.0,12.0,12.0,"{""12"": 2}","{""12"": 18, ""11"": 8}","{""12"": 48, ""13"": 4, ""11"": 25}",non_bati
48051002,LE COLLET-SAUVEPLANE,44.256,3.925667,485,demuzere,11.0,11.0,11.0,"{""11"": 4}","{""11"": 28, ""12"": 1}","{""11"": 73, ""12"": 8}",non_bati
48060001,FAU DE PEYRE,44.763167,3.211833,1163,demuzere,12.0,12.0,12.0,"{""12"": 4}","{""11"": 5, ""12"": 23}","{""11"": 21, ""12"": 59}",non_bati
48061002,FLORAC,44.309,3.596333,618,demuzere,12.0,12.0,12.0,"{""12"": 4}","{""12"": 27, ""11"": 1}","{""11"": 15, ""12"": 63, ""13"": 1}",non_bati
48070004,GRANDRIEU,44.780667,3.633833,1163,demuzere,6.0,12.0,12.0,"{""6"": 4}","{""6"": 11, ""12"": 12, ""14"": 6}","{""12"": 40, ""6"": 15, ""11"": 12, ""14"": 13}",non_bati
48074003,HURES-LA-PARADE,44.249667,3.403,1028,demuzere,12.0,12.0,12.0,"{""12"": 3}","{""11"": 1, ""14"": 7, ""12"": 18, ""13"": 1}","{""12"": 56, ""13"": 4, ""11"": 2, ""14"": 15}",non_bati
48080002,LANGOGNE-CFPPA,44.733333,3.858333,934,demuzere,6.0,12.0,12.0,"{""12"": 1, ""6"": 2}","{""12"": 15, ""6"": 12}","{""12"": 42, ""11"": 1, ""6"": 28, ""14"": 6}",non_bati
48094001,LE MASSEGROS,44.295667,3.165667,890,demuzere,12.0,12.0,12.0,"{""12"": 2}","{""14"": 1, ""12"": 27}","{""11"": 3, ""12"": 66, ""14"": 6, ""13"": 1, ""16"": 3}",non_bati
48095004,MENDE-VILLE,44.516833,3.489833,710,demuzere,12.0,6.0,6.0,"{""12"": 4}","{""6"": 13, ""5"": 2, ""12"": 11, ""15"": 3}","{""6"": 37, ""5"": 8, ""12"": 28, ""15"": 3, ""11"": 4}",urbain_aere
48095005,MENDE,44.533667,3.4545,932,demuzere,12.0,12.0,12.0,"{""12"": 4}","{""12"": 29}","{""12"": 70, ""11"": 7, ""14"": 3}",non_bati
48096004,MEYRUEIS-FREPES,44.206,3.455167,1054,demuzere,12.0,12.0,12.0,"{""12"": 3}","{""12"": 28, ""14"": 1}","{""12"": 69, ""14"": 4, ""13"": 5}",non_bati
48103001,MONTRODAT,44.545833,3.3125,746,demuzere,12.0,12.0,12.0,"{""12"": 3}","{""12"": 22, ""14"": 5}","{""12"": 58, ""14"": 20}",non_bati
48104002,NASBINALS,44.642,2.9955,1284,demuzere,12.0,14.0,14.0,"{""12"": 2, ""14"": 1}","{""12"": 9, ""14"": 19}","{""14"": 49, ""12"": 27, ""11"": 2}",non_bati
48105001,NAUSSAC,44.748333,3.828333,967,demuzere,12.0,12.0,12.0,"{""11"": 1, ""12"": 3}","{""11"": 6, ""12"": 20, ""17"": 4}","{""11"": 12, ""12"": 49, ""14"": 4, ""17"": 16}",non_bati
48110001,PAULHAC EN MARGERIDE_SAPC,44.947667,3.38,1170,demuzere,6.0,12.0,12.0,"{""14"": 1, ""6"": 2, ""9"": 1}","{""12"": 12, ""14"": 8, ""6"": 6, ""9"": 2}","{""12"": 39, ""14"": 31, ""9"": 3, ""6"": 6}",non_bati
48116001,LE PONT-DE-MONTVERT,44.365667,3.738333,875,demuzere,13.0,12.0,12.0,"{""13"": 2, ""12"": 2}","{""13"": 10, ""12"": 17, ""11"": 2}","{""13"": 21, ""14"": 1, ""12"": 47, ""11"": 11}",non_bati
48126001,RIBENNES,44.647667,3.419667,1057,demuzere,12.0,12.0,12.0,"{""12"": 3}","{""12"": 25, ""14"": 2}","{""11"": 4, ""12"": 66, ""13"": 1, ""14"": 4, ""17"": 2}",non_bati
48132001,ST ALBAN SUR LIMAGNOLE,44.784667,3.387,960,demuzere,12.0,12.0,12.0,"{""12"": 2, ""14"": 1}","{""12"": 16, ""14"": 6, ""6"": 7}","{""14"": 21, ""12"": 38, ""6"": 19}",non_bati
